     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
4.74298 	2.30025 	183.942 	0.445496	413.063 	394	157	25.8724
-0.632723	2.10448 	189.504 	0.456073	415.54  	394	159	-73.2664
-0.321919	-0.000181	185.719 	0.448789	413.823 	394	158	0.0322148
2.95926 	-3.12029	187.603 	0.454342	413.021 	392	158	-46.5173
2.48813 	-1.60896	186.172 	0.449709	414.035 	394	160	-32.8888
-0.310264	1.52883 	188.135 	0.453448	414.912 	394	162	-78.5282
-3.1693 	-4.4079 	184.285 	0.446173	413.213 	394	162	54.2837
1.52113 	-0.663377	184.107 	0.445686	413.103 	394	161	-23.5624
-1.2768 	-0.27167	189.243 	0.456479	414.582 	393	159	12.0119
-1.61927	0.33837 	184.165 	0.446707	412.288 	393	161	-11.8029
-3.7194 	-0.582899	182.041 	0.443537	410.518 	392	159	8.90686
-3.62346	2.2218  	188.497 	0.45422 	415.096 	394	161	-31.5155
0.347731	-0.516851	189.213 	0.456411	414.569 	393	156	-56.0679
-3.131  	-3.09487	181.493 	0.441582	411.127 	393	155	44.6676
-4.13876	-3.33799	181.991 	0.441706	412.194 	394	162	38.8869
-1.35486	2.95684 	185.01  	0.448385	412.677 	393	160	-65.3821
-1.84259	-0.005119	182.84  	0.444132	411.701 	393	159	0.159177
1.16437 	1.70254 	192.533 	0.461816	416.927 	394	162	55.6317
3.68524 	1.06689 	184.379 	0.446277	413.24  	394	160	16.146
-1.11208	-2.17312	187.221 	0.453544	412.831 	392	159	62.8992
1.72031 	0.055767	186.714 	0.451636	413.435 	393	159	1.8567
-1.06252	0.411558	187.442 	0.452118	414.596 	394	164	-21.1734
0.646843	-0.967095	189.227 	0.455522	415.414 	394	154	-56.2234
-0.893441	3.10895 	184.147 	0.445802	413.132 	394	159	-73.9666
-0.270745	1.42917 	182.574 	0.444513	410.743 	392	156	-79.273
-1.39964	-1.08753	185.392 	0.449084	412.842 	393	157	37.8475
2.67736 	-2.37595	181.69  	0.441935	411.204 	393	158	-41.5866
1.18352 	0.992189	186.959 	0.453018	412.711 	392	156	39.9743
0.483465	0.615692	184.854 	0.448031	412.596 	393	159	51.8597
0.026896	0.901632	189.838 	0.45669 	415.687 	394	160	88.2914
-3.2719 	-0.766396	186.658 	0.450658	414.256 	394	161	13.1831
0.969988	2.2356  	182.435 	0.442449	412.367 	394	158	66.5449
