# proton+antiproton -> gamma* -> electron+positron 
# E=[2:5] [GeV] , Q=[1:E] [GeV] , sigma [nbarn * GeV-2] 
# N_E=100 , N_Q = 100 , Num. of Rows = N_E*N_Q  
     100     100
2.151700E+000 1.529800E+000 1.905738E-005 
2.151700E+000 1.541300E+000 1.508638E-005 
2.151700E+000 1.552800E+000 1.191186E-005 
2.151700E+000 1.564400E+000 9.379920E-006 
2.151700E+000 1.575900E+000 7.365160E-006 
2.151700E+000 1.587400E+000 5.765740E-006 
2.151700E+000 1.598900E+000 4.499580E-006 
2.151700E+000 1.610400E+000 3.499610E-006 
2.151700E+000 1.621900E+000 2.712250E-006 
2.151700E+000 1.633500E+000 2.094104E-006 
2.151700E+000 1.645000E+000 1.610402E-006 
2.151700E+000 1.656500E+000 1.233100E-006 
2.151700E+000 1.668000E+000 9.398920E-007 
2.151700E+000 1.679500E+000 7.129180E-007 
2.151700E+000 1.691000E+000 5.379280E-007 
2.151700E+000 1.702600E+000 4.035980E-007 
2.151700E+000 1.714100E+000 3.010132E-007 
2.151700E+000 1.725600E+000 2.230562E-007 
2.151700E+000 1.737100E+000 1.641486E-007 
2.151700E+000 1.748600E+000 1.199014E-007 
2.151700E+000 1.760200E+000 8.687940E-008 
2.151700E+000 1.771700E+000 6.240740E-008 
2.151700E+000 1.783200E+000 4.441060E-008 
2.151700E+000 1.794700E+000 3.128464E-008 
2.151700E+000 1.806200E+000 2.179566E-008 
2.151700E+000 1.817700E+000 1.500316E-008 
2.151700E+000 1.829300E+000 1.019312E-008 
2.151700E+000 1.840800E+000 6.826320E-009 
2.151700E+000 1.852300E+000 4.499960E-009 
2.151700E+000 1.863800E+000 2.915360E-009 
2.151700E+000 1.875300E+000 1.857174E-009 
2.151700E+000 1.886800E+000 1.160444E-009 
2.151700E+000 1.898400E+000 7.093460E-010 
2.151700E+000 1.909900E+000 4.233200E-010 
2.151700E+000 1.921400E+000 2.462020E-010 
2.151700E+000 1.932900E+000 1.394524E-010 
2.151700E+000 1.944400E+000 7.678660E-011 
2.151700E+000 1.955900E+000 4.097160E-011 
2.151700E+000 1.967500E+000 2.115954E-011 
2.151700E+000 1.979000E+000 1.057236E-011 
2.151700E+000 1.990500E+000 5.115180E-012 
2.151700E+000 2.002000E+000 2.401106E-012 
2.151700E+000 2.013500E+000 1.095692E-012 
2.151700E+000 2.025100E+000 4.857920E-013 
2.151700E+000 2.036600E+000 2.091976E-013 
2.151700E+000 2.048100E+000 8.792060E-014 
2.151700E+000 2.059600E+000 3.673042E-014 
2.151700E+000 2.071100E+000 1.540368E-014 
2.151700E+000 2.082600E+000 6.603640E-015 
2.151700E+000 2.094200E+000 2.842286E-015 
2.151700E+000 2.105700E+000 1.099492E-015 
2.151700E+000 2.117200E+000 3.938320E-016 
2.151700E+000 2.128700E+000 1.328594E-016 
2.151700E+000 2.140200E+000 2.804590E-017 
2.200000E+000 1.000000E+000 1.418806E-001 
2.200000E+000 1.012000E+000 1.211402E-001 
2.200000E+000 1.024000E+000 1.033562E-001 
2.200000E+000 1.036000E+000 8.810680E-002 
2.200000E+000 1.048000E+000 7.504620E-002 
2.200000E+000 1.060000E+000 6.385520E-002 
2.200000E+000 1.072000E+000 5.428300E-002 
2.200000E+000 1.084000E+000 4.609400E-002 
2.200000E+000 1.096000E+000 3.909820E-002 
2.200000E+000 1.108000E+000 3.312308E-002 
2.200000E+000 1.120000E+000 2.802652E-002 
2.200000E+000 1.132000E+000 2.368312E-002 
2.200000E+000 1.144000E+000 1.998572E-002 
2.200000E+000 1.156000E+000 1.684198E-002 
2.200000E+000 1.168000E+000 1.417210E-002 
2.200000E+000 1.180000E+000 1.190768E-002 
2.200000E+000 1.192000E+000 9.989440E-003 
2.200000E+000 1.204000E+000 8.367220E-003 
2.200000E+000 1.216000E+000 6.997320E-003 
2.200000E+000 1.228000E+000 5.842120E-003 
2.200000E+000 1.240000E+000 4.869320E-003 
2.200000E+000 1.252000E+000 4.051560E-003 
2.200000E+000 1.264000E+000 3.365394E-003 
2.200000E+000 1.276000E+000 2.790758E-003 
2.200000E+000 1.288000E+000 2.310248E-003 
2.200000E+000 1.300000E+000 1.909120E-003 
2.200000E+000 1.312000E+000 1.574834E-003 
2.200000E+000 1.324000E+000 1.296750E-003 
2.200000E+000 1.336000E+000 1.065862E-003 
2.200000E+000 1.348000E+000 8.744180E-004 
2.200000E+000 1.360000E+000 7.159200E-004 
2.200000E+000 1.372000E+000 5.849720E-004 
2.200000E+000 1.384000E+000 4.770900E-004 
2.200000E+000 1.396000E+000 3.883600E-004 
2.200000E+000 1.408000E+000 3.155140E-004 
2.200000E+000 1.420000E+000 2.558578E-004 
2.200000E+000 1.432000E+000 2.070848E-004 
2.200000E+000 1.444000E+000 1.672874E-004 
2.200000E+000 1.456000E+000 1.348734E-004 
2.200000E+000 1.468000E+000 1.085242E-004 
2.200000E+000 1.480000E+000 8.714920E-005 
2.200000E+000 1.492000E+000 6.984400E-005 
2.200000E+000 1.504000E+000 5.585620E-005 
2.200000E+000 1.516000E+000 4.457400E-005 
2.200000E+000 1.528000E+000 3.549200E-005 
2.200000E+000 1.540000E+000 2.819638E-005 
2.200000E+000 1.552000E+000 2.234742E-005 
2.200000E+000 1.564000E+000 1.766810E-005 
2.200000E+000 1.576000E+000 1.393308E-005 
2.200000E+000 1.588000E+000 1.095806E-005 
2.200000E+000 1.600000E+000 8.594080E-006 
2.200000E+000 1.612000E+000 6.719920E-006 
2.200000E+000 1.624000E+000 5.238300E-006 
2.200000E+000 1.636000E+000 4.069800E-006 
2.200000E+000 1.648000E+000 3.150960E-006 
2.200000E+000 1.660000E+000 2.430518E-006 
2.200000E+000 1.672000E+000 1.867434E-006 
2.200000E+000 1.684000E+000 1.428762E-006 
2.200000E+000 1.696000E+000 1.088244E-006 
2.200000E+000 1.708000E+000 8.249420E-007 
2.200000E+000 1.720000E+000 6.221360E-007 
2.200000E+000 1.732000E+000 4.666400E-007 
2.200000E+000 1.744000E+000 3.479850E-007 
2.200000E+000 1.756000E+000 2.578680E-007 
2.200000E+000 1.768000E+000 1.898024E-007 
2.200000E+000 1.780000E+000 1.386962E-007 
2.200000E+000 1.792000E+000 1.005594E-007 
2.200000E+000 1.804000E+000 7.229500E-008 
2.200000E+000 1.816000E+000 5.150520E-008 
2.200000E+000 1.828000E+000 3.633142E-008 
2.200000E+000 1.840000E+000 2.535474E-008 
2.200000E+000 1.852000E+000 1.748950E-008 
2.200000E+000 1.864000E+000 1.191186E-008 
2.200000E+000 1.876000E+000 8.014580E-009 
2.200000E+000 1.888000E+000 5.317340E-009 
2.200000E+000 1.900000E+000 3.473048E-009 
2.200000E+000 1.912000E+000 2.230068E-009 
2.200000E+000 1.924000E+000 1.405810E-009 
2.200000E+000 1.936000E+000 8.692880E-010 
2.200000E+000 1.948000E+000 5.260720E-010 
2.200000E+000 1.960000E+000 3.109198E-010 
2.200000E+000 1.972000E+000 1.790788E-010 
2.200000E+000 1.984000E+000 1.003010E-010 
2.200000E+000 1.996000E+000 5.450720E-011 
2.200000E+000 2.008000E+000 2.868240E-011 
2.200000E+000 2.020000E+000 1.458364E-011 
2.200000E+000 2.032000E+000 7.152360E-012 
2.200000E+000 2.044000E+000 3.377934E-012 
2.200000E+000 2.056000E+000 1.533718E-012 
2.200000E+000 2.068000E+000 6.682300E-013 
2.200000E+000 2.080000E+000 2.796154E-013 
2.200000E+000 2.092000E+000 1.131640E-013 
2.200000E+000 2.104000E+000 4.512500E-014 
2.200000E+000 2.116000E+000 1.808344E-014 
2.200000E+000 2.128000E+000 7.308540E-015 
2.200000E+000 2.140000E+000 2.962176E-015 
2.200000E+000 2.152000E+000 1.079542E-015 
2.200000E+000 2.164000E+000 3.640780E-016 
2.200000E+000 2.176000E+000 1.185030E-016 
2.200000E+000 2.188000E+000 2.489380E-017 
2.247200E+000 1.000000E+000 1.699816E-001 
2.247200E+000 1.012500E+000 1.449434E-001 
2.247200E+000 1.024900E+000 1.235114E-001 
