     p_x	     p_y	     p_z	       v	       E	A	Z	polar angle
2.79643 	-1.50019	14.6186 	0.99222 	15.0764 	2	1	-28.212
2.26406 	-1.34034	15.5035 	0.992959	15.8367 	2	2	-30.6258
2.76682 	-1.53685	18.6871 	0.980954	19.3213 	4	3	-29.0503
2.11311 	-1.46051	19.2219 	0.989621	19.5962 	3	1	-34.6509
2.11081 	-1.17762	19.1865 	0.995323	19.429  	2	1	-29.1572
2.18796 	-1.13534	19.7936 	0.995602	20.0346 	2	1	-27.4248
2.32364 	-0.628998	20.8254 	0.996016	21.0479 	2	1	-15.1467
2.88635 	-0.148077	21.6508 	0.991798	22.0235 	3	2	-2.93685
3.13609 	-0.083803	21.7334 	0.996367	22.0387 	2	1	-1.5307
3.47904 	-0.047283	23.7072 	0.996946	24.0345 	2	1	-0.77865
3.6067  	-0.391258	24.7932 	0.982909	25.4929 	5	2	-6.1913
3.95282 	0.276213	25.4786 	0.983824	26.2088 	5	0	3.99719
3.75637 	-0.241219	26.6638 	0.997579	26.9935 	2	1	-3.67426
3.58276 	-0.085399	26.5395 	0.99755 	26.8462 	2	0	-1.36545
3.73416 	-0.67598	27.9368 	0.995049	28.3336 	3	1	-10.2609
4.50819 	-0.044371	28.4686 	0.997884	28.8845 	2	0	-0.563905
4.18791 	-0.167751	30.0745 	0.998095	30.4231 	2	1	-2.29382
3.80885 	-0.205328	31.478  	0.998253	31.7638 	2	1	-3.08572
3.83387 	-0.112634	31.6534 	0.99827 	31.9402 	2	0	-1.68279
3.84813 	-0.859788	32.7947 	0.998388	33.0842 	2	0	-12.5947
4.22923 	-0.762077	34.3404 	0.998531	34.6592 	2	0	-10.2147
4.25482 	-1.04265	36.0253 	0.998664	36.3392 	2	0	-13.7691
4.88515 	-1.19118	36.9508 	0.998734	37.3386 	2	0	-13.7034
5.39633 	-1.22625	37.8813 	0.998799	38.3294 	2	0	-12.8023
5.0412  	-1.70138	39.2141 	0.998876	39.6179 	2	0	-18.6493
4.39363 	-1.42215	39.6029 	0.998895	39.9154 	2	2	-17.936
4.39597 	-1.16854	41.0056 	0.998968	41.2998 	2	2	-14.8862
4.49195 	-1.1172 	42.3752 	0.999032	42.6686 	2	1	-13.9667
4.21505 	-1.16816	46.5227 	0.996787	46.8785 	4	1	-15.4901
4.11348 	-1.17338	48.2411 	0.99925 	48.4667 	2	1	-15.921
4.05656 	-1.49342	48.9324 	0.999271	49.1588 	2	1	-20.2111
3.32749 	-1.82097	49.3085 	0.99928 	49.4899 	2	0	-28.6898
3.70225 	-1.52264	50.6046 	0.999317	50.7974 	2	1	-22.3562
3.59273 	-1.24797	52.2331 	0.999358	52.405  	2	0	-19.1551
0.595792	0.431047	1.17559 	0.441888	3.13799 	3	2	35.8852
1.03736 	0.728961	2.12657 	0.660291	3.74962 	3	1	35.096
1.07238 	0.222096	3.38235 	0.687623	5.17031 	4	2	11.7009
1.276   	0.040067	3.45329 	0.890901	4.13257 	2	1	1.79853
1.10084 	0.124049	3.6762  	0.898485	4.2733  	2	2	6.42927
1.11205 	0.278138	4.23782 	0.919484	4.77455 	2	1	14.0423
0.665491	-0.003988	6.47119 	0.866017	7.51178 	4	0	-0.343345
1.24112 	0.42107 	6.96369 	0.966661	7.33033 	2	1	18.7404
0.69205 	0.543551	8.5159  	0.915786	9.34853 	4	1	38.1469
1.20736 	0.833102	8.45515 	0.916133	9.36704 	4	1	34.6065
1.48212 	1.11258 	9.80097 	0.982751	10.1497 	2	1	36.8943
1.18338 	1.04161 	10.136  	0.983668	10.4281 	2	1	41.3544
1.18369 	1.79185 	10.5223 	0.985067	10.902  	2	1	56.5516
1.43737 	1.62183 	12.1417 	0.988629	12.4754 	2	2	48.4506
1.7456  	2.35313 	14.6289 	0.969772	15.3844 	4	2	53.4313
1.03354 	1.7987  	16.5924 	0.986124	16.9569 	3	2	60.1183
0.729557	1.90923 	17.5446 	0.994395	17.7628 	2	0	69.0871
2.19267 	1.27304 	19.3495 	0.989749	19.717  	3	1	30.139
1.905   	1.31912 	19.9415 	0.990305	20.2722 	3	1	34.7008
