       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle
 -0.091404	  0.303228	  0.418967	0.488151	0.136898	1	0	106.775
  0.214937	 -0.192854	  0.852937	0.692154	0.362005	1	0	41.9003
 -0.160198	  0.313518	  0.681126	 0.63248	0.273275	1	0	117.066
  0.327497	  0.167693	  0.080157	0.372212	0.0726923	1	0	27.1145
 -0.045529	  0.259971	  0.891866	0.703731	0.382667	1	0	99.9336
 -0.257534	 -0.037174	  0.683471	 0.61446	0.251193	1	0	171.786
 -0.229937	  0.028897	  0.678973	0.607116	0.242707	1	0	172.837
 -0.126066	 -0.120639	  0.766166	0.641766	0.285409	1	0	136.26
 -0.029343	  0.042588	   1.04408	0.743941	0.466172	1	0	124.567
   0.39908	 -0.144385	   1.75403	0.692884	0.726538	2	0	19.8899
  0.122933	 -0.177131	   1.77027	0.688597	0.711829	2	0	55.2385
  0.198124	  0.070173	   1.05205	0.752485	0.486732	1	0	19.5035
  0.184358	  0.776472	   1.02276	0.810064	0.662457	1	0	76.6436
 -0.174019	  0.141188	  0.617299	 0.57312	 0.20686	1	0	140.946
 -0.174295	  0.267573	  0.549308	0.560417	 0.19477	1	0	123.08
 -0.150527	 -0.097724	  0.882307	0.692105	0.361921	1	0	147.008
  0.189173	 -0.026163	  0.661953	0.591559	0.225635	1	0	7.87418
 -0.030243	  0.500982	  0.833629	0.719587	0.413241	1	0	93.4547
   -0.0631	 -0.083041	  0.903813	0.695856	0.368469	1	0	127.23
  -0.05701	   0.14715	  0.539932	0.513905	0.155601	1	0	111.178
 -0.277146	 -0.105067	  0.967405	0.732981	0.441378	1	0	159.238
 -0.137431	  0.451647	  0.854773	0.721173	0.416014	1	1	106.924
  0.153045	 -0.122804	  0.549364	0.527708	0.166453	1	0	38.7437
   0.02509	 -0.040858	   0.96959	0.718772	0.411602	1	0	58.4469
  0.564664	 -0.253803	  0.286818	0.587825	 0.22171	1	0	24.2028
   -0.1656	 -0.018575	  0.309285	0.350419	 0.06357	1	0	173.6
 -0.262348	 -0.484465	   1.14774	 0.80478	0.642946	1	0	118.437
  0.176756	  0.164966	   1.05407	0.755083	0.493213	1	0	43.024
  0.326233	 -0.280176	  0.320437	0.496341	0.142486	1	1	40.6567
  0.413341	 -0.261751	  0.627763	0.646585	0.291923	1	0	32.3443
    0.1713	  0.249544	  0.624789	0.594503	0.228775	1	0	55.5323
  0.689346	   -1.3592	   1.81068	0.0866227	0.102697	29	12	63.1072
  0.249021	  0.179069	  0.649762	0.608103	0.243572	1	1	35.7196
